area,english,code,language
Africa and Middle East,Afrikaans,af_ZA,Afrikaans
Western Europe,Albanian,sq_AL,Shqip
Africa and Middle East,Arabic,ar_AR,العربية
Asia-Pacific,Armenian,hy_AM,Հայերեն
Asia-Pacific,Azerbaijani,az_AZ,Azərbaycan dili
Western Europe,Basque,eu_ES,Euskara
Estern Europe,Belarusian,be_BY,Беларуская
Asia-Pacific,Bengali,bn_IN,বাংলা
Western Europe,Bosnian,bs_BA,Bosanski
Estern Europe,Bulgarian,bg_BG,Български
Western Europe,Catalan,ca_ES,Català
Asia-Pacific,Cebuano,cx_PH,Bisaya
Western Europe,Croatian,hr_HR,Hrvatski
Estern Europe,Czech,cs_CZ,Čeština
Western Europe,Danish,da_DK,Dansk
Western Europe,Dutch,nl_NL,Nederlands
Western Europe,Dutch (België),nl_BE,Nederlands (België)
Western Europe,English (UK),en_GB,English (UK)
Americas,English (US),en_US,English (US)
Western Europe,Estonian,et_EE,Eesti
Asia-Pacific,Filipino,tl_PH,Filipino
Western Europe,Finnish,fi_FI,Suomi
Americas,French (Canada),fr_CA,Français (Canada)
Western Europe,French (France),fr_FR,Français (France)
Western Europe,Frisian,fy_NL,Frysk
Western Europe,Galician,gl_ES,Galego
Asia-Pacific,Georgian,ka_GE,ქართული
Western Europe,German,de_DE,Deutsch
Western Europe,Greek,el_GR,Ελληνικά
Americas,Guarani,gn_PY,Guarani
Asia-Pacific,Gujarati,gu_IN,ગુજરાતી
Africa and Middle East,Hebrew,he_IL,עברית
Asia-Pacific,Hindi,hi_IN,हिन्दी
Estern Europe,Hungarian,hu_HU,Magyar
Western Europe,Icelandic,is_IS,Íslenska
Asia-Pacific,Indonesian,id_ID,Bahasa Indonesia
Western Europe,Italian,it_IT,Italiano
Asia-Pacific,Japanese,ja_JP,日本語
Asia-Pacific,Japanese (Kansai),ja_KS,日本語(関西)
Asia-Pacific,Javanese,jv_ID,Basa Jawa
Asia-Pacific,Kannada,kn_IN,ಕನ್ನಡ
Asia-Pacific,Kazakh,kk_KZ,Қазақша
Asia-Pacific,Korean,ko_KR,한국어
Africa and Middle East,Kurdish (Kurmanji),ku_TR,Kurdî (Kurmancî)
Western Europe,Latvian,lv_LV,Latviešu
Western Europe,Lithuanian,lt_LT,Lietuvių
Western Europe,Macedonian,mk_MK,Македонски
Asia-Pacific,Malay,ms_MY,Bahasa Melayu
Asia-Pacific,Malayalam,ml_IN,മലയാളം
Asia-Pacific,Marathi,mr_IN,मराठी
Asia-Pacific,Mongolian,mn_MN,Монгол
Asia-Pacific,Nepali,ne_NP,नेपाली
Western Europe,Norwegian (bokmal),nb_NO,Norsk (bokmål)
Western Europe,Norwegian (nynorsk),nn_NO,Norsk (nynorsk)
Africa and Middel East,Pashto,ps_AF,پښتو
Africa and Middle East,Persian,fa_IR,فارسی
Estern Europe,Polish,pl_PL,Polski
Americas,Portuguese (Brazil),pt_BR,Português (Brasil)
Western Europe,Portuguese (Portugal),pt_PT,Português (Portugal)
Asia-Pacific,Punjabi,pa_IN,ਪੰਜਾਬੀ
Estern Europe,Romanian,ro_RO,Română
Estern Europe,Russian,ru_RU,Русский
Western Europe,Serbian,sr_RS,Српски
Asia-Pacific,Simplified Chinese (China),zh_CN,中文(简体)
Asia-Pacific,Sinhala,si_LK,සිංහල
Estern Europe,Slovak,sk_SK,Slovenčina
Estern Europe,Slovenian,sl_SI,Slovenščina
Americas,Spanish,es_LA,Español
Americas,Spanish (Colombia),es_CO,Español (Colombia)
Western Europe,Spanish (Spain),es_ES,Español (España)
Africa and Middle East,Swahili,sw_KE,Kiswahili
Western Europe,Swedish,sv_SE,Svenska
Asia-Pacific,Tajik,tg_TJ,Тоҷикӣ
Asia-Pacific,Tamil,ta_IN,தமிழ்
Asia-Pacific,Telugu,te_IN,తెలుగు
Asia-Pacific,Thai,th_TH,ภาษาไทย
Asia-Pacific,Traditional Chinese (Hong Kong),zh_HK,中文(香港)
Asia-Pacific,Traditional Chinese (Taiwan),zh_TW,中文(台灣)
Africa and Middle East,Turkish,tr_TR,Türkçe
Estern Europe,Ukrainian,uk_UA,Українська
Asia-Pacific,Urdu,ur_PK,اردو
Asia-Pacific,Uzbek,uz_UZ,O'zbek
Asia-Pacific,Vietnamese,vi_VN,Tiếng Việt
Western Europe,Welsh,cy_GB,Cymraeg